encoder,suite,task,seed,status,best_success,best_score,final_loss,n_epochs
v15_p_only,adroit,pen-v0,100,DONE,60.0,2519.23,,99.0
v15_p_only,adroit,pen-v0,200,DONE,40.0,1544.97,,99.0
v15_p_only,adroit,pen-v0,300,RUNNING,,,,
v15_p_only,adroit,relocate-v0,100,RUNNING,,,,
v15_p_only,adroit,relocate-v0,200,MISSING,,,,
v15_p_only,adroit,relocate-v0,300,MISSING,,,,
v15_p_only,metaworld,assembly-v2-goal-observable,100,MISSING,,,,
v15_p_only,metaworld,assembly-v2-goal-observable,200,MISSING,,,,
v15_p_only,metaworld,assembly-v2-goal-observable,300,MISSING,,,,
v15_p_only,metaworld,bin-picking-v2-goal-observable,100,MISSING,,,,
v15_p_only,metaworld,bin-picking-v2-goal-observable,200,MISSING,,,,
v15_p_only,metaworld,bin-picking-v2-goal-observable,300,MISSING,,,,
v15_p_only,metaworld,button-press-topdown-v2-goal-observable,100,MISSING,,,,
v15_p_only,metaworld,button-press-topdown-v2-goal-observable,200,MISSING,,,,
v15_p_only,metaworld,button-press-topdown-v2-goal-observable,300,MISSING,,,,
v15_p_only,metaworld,drawer-open-v2-goal-observable,100,MISSING,,,,
v15_p_only,metaworld,drawer-open-v2-goal-observable,200,MISSING,,,,
v15_p_only,metaworld,drawer-open-v2-goal-observable,300,MISSING,,,,
v15_p_only,metaworld,hammer-v2-goal-observable,100,MISSING,,,,
v15_p_only,metaworld,hammer-v2-goal-observable,200,MISSING,,,,
v15_p_only,metaworld,hammer-v2-goal-observable,300,MISSING,,,,
videomae_ours,adroit,pen-v0,100,MISSING,,,,
videomae_ours,adroit,pen-v0,200,MISSING,,,,
videomae_ours,adroit,pen-v0,300,MISSING,,,,
videomae_ours,adroit,relocate-v0,100,MISSING,,,,
videomae_ours,adroit,relocate-v0,200,MISSING,,,,
videomae_ours,adroit,relocate-v0,300,MISSING,,,,
videomae_ours,metaworld,assembly-v2-goal-observable,100,MISSING,,,,
videomae_ours,metaworld,assembly-v2-goal-observable,200,MISSING,,,,
videomae_ours,metaworld,assembly-v2-goal-observable,300,MISSING,,,,
videomae_ours,metaworld,bin-picking-v2-goal-observable,100,MISSING,,,,
videomae_ours,metaworld,bin-picking-v2-goal-observable,200,MISSING,,,,
videomae_ours,metaworld,bin-picking-v2-goal-observable,300,MISSING,,,,
videomae_ours,metaworld,button-press-topdown-v2-goal-observable,100,MISSING,,,,
videomae_ours,metaworld,button-press-topdown-v2-goal-observable,200,MISSING,,,,
videomae_ours,metaworld,button-press-topdown-v2-goal-observable,300,MISSING,,,,
videomae_ours,metaworld,drawer-open-v2-goal-observable,100,MISSING,,,,
videomae_ours,metaworld,drawer-open-v2-goal-observable,200,MISSING,,,,
videomae_ours,metaworld,drawer-open-v2-goal-observable,300,MISSING,,,,
videomae_ours,metaworld,hammer-v2-goal-observable,100,MISSING,,,,
videomae_ours,metaworld,hammer-v2-goal-observable,200,MISSING,,,,
videomae_ours,metaworld,hammer-v2-goal-observable,300,MISSING,,,,
siglip_base,adroit,pen-v0,100,MISSING,,,,
siglip_base,adroit,pen-v0,200,MISSING,,,,
siglip_base,adroit,pen-v0,300,MISSING,,,,
siglip_base,adroit,relocate-v0,100,MISSING,,,,
siglip_base,adroit,relocate-v0,200,MISSING,,,,
siglip_base,adroit,relocate-v0,300,MISSING,,,,
siglip_base,metaworld,assembly-v2-goal-observable,100,MISSING,,,,
siglip_base,metaworld,assembly-v2-goal-observable,200,MISSING,,,,
siglip_base,metaworld,assembly-v2-goal-observable,300,MISSING,,,,
siglip_base,metaworld,bin-picking-v2-goal-observable,100,MISSING,,,,
siglip_base,metaworld,bin-picking-v2-goal-observable,200,MISSING,,,,
siglip_base,metaworld,bin-picking-v2-goal-observable,300,MISSING,,,,
siglip_base,metaworld,button-press-topdown-v2-goal-observable,100,MISSING,,,,
siglip_base,metaworld,button-press-topdown-v2-goal-observable,200,MISSING,,,,
siglip_base,metaworld,button-press-topdown-v2-goal-observable,300,MISSING,,,,
siglip_base,metaworld,drawer-open-v2-goal-observable,100,MISSING,,,,
siglip_base,metaworld,drawer-open-v2-goal-observable,200,MISSING,,,,
siglip_base,metaworld,drawer-open-v2-goal-observable,300,MISSING,,,,
siglip_base,metaworld,hammer-v2-goal-observable,100,MISSING,,,,
siglip_base,metaworld,hammer-v2-goal-observable,200,MISSING,,,,
siglip_base,metaworld,hammer-v2-goal-observable,300,MISSING,,,,
dinov2_base,adroit,pen-v0,100,MISSING,,,,
dinov2_base,adroit,pen-v0,200,MISSING,,,,
dinov2_base,adroit,pen-v0,300,MISSING,,,,
dinov2_base,adroit,relocate-v0,100,MISSING,,,,
dinov2_base,adroit,relocate-v0,200,MISSING,,,,
dinov2_base,adroit,relocate-v0,300,MISSING,,,,
dinov2_base,metaworld,assembly-v2-goal-observable,100,MISSING,,,,
dinov2_base,metaworld,assembly-v2-goal-observable,200,MISSING,,,,
dinov2_base,metaworld,assembly-v2-goal-observable,300,MISSING,,,,
dinov2_base,metaworld,bin-picking-v2-goal-observable,100,MISSING,,,,
dinov2_base,metaworld,bin-picking-v2-goal-observable,200,MISSING,,,,
dinov2_base,metaworld,bin-picking-v2-goal-observable,300,MISSING,,,,
dinov2_base,metaworld,button-press-topdown-v2-goal-observable,100,MISSING,,,,
dinov2_base,metaworld,button-press-topdown-v2-goal-observable,200,MISSING,,,,
dinov2_base,metaworld,button-press-topdown-v2-goal-observable,300,MISSING,,,,
dinov2_base,metaworld,drawer-open-v2-goal-observable,100,MISSING,,,,
dinov2_base,metaworld,drawer-open-v2-goal-observable,200,MISSING,,,,
dinov2_base,metaworld,drawer-open-v2-goal-observable,300,MISSING,,,,
dinov2_base,metaworld,hammer-v2-goal-observable,100,MISSING,,,,
dinov2_base,metaworld,hammer-v2-goal-observable,200,MISSING,,,,
dinov2_base,metaworld,hammer-v2-goal-observable,300,MISSING,,,,
vc1_vitb,adroit,pen-v0,100,MISSING,,,,
vc1_vitb,adroit,pen-v0,200,MISSING,,,,
vc1_vitb,adroit,pen-v0,300,MISSING,,,,
vc1_vitb,adroit,relocate-v0,100,MISSING,,,,
vc1_vitb,adroit,relocate-v0,200,MISSING,,,,
vc1_vitb,adroit,relocate-v0,300,MISSING,,,,
vc1_vitb,metaworld,assembly-v2-goal-observable,100,MISSING,,,,
vc1_vitb,metaworld,assembly-v2-goal-observable,200,MISSING,,,,
vc1_vitb,metaworld,assembly-v2-goal-observable,300,MISSING,,,,
vc1_vitb,metaworld,bin-picking-v2-goal-observable,100,MISSING,,,,
vc1_vitb,metaworld,bin-picking-v2-goal-observable,200,MISSING,,,,
vc1_vitb,metaworld,bin-picking-v2-goal-observable,300,MISSING,,,,
vc1_vitb,metaworld,button-press-topdown-v2-goal-observable,100,MISSING,,,,
vc1_vitb,metaworld,button-press-topdown-v2-goal-observable,200,MISSING,,,,
vc1_vitb,metaworld,button-press-topdown-v2-goal-observable,300,MISSING,,,,
vc1_vitb,metaworld,drawer-open-v2-goal-observable,100,MISSING,,,,
vc1_vitb,metaworld,drawer-open-v2-goal-observable,200,MISSING,,,,
vc1_vitb,metaworld,drawer-open-v2-goal-observable,300,MISSING,,,,
vc1_vitb,metaworld,hammer-v2-goal-observable,100,MISSING,,,,
vc1_vitb,metaworld,hammer-v2-goal-observable,200,MISSING,,,,
vc1_vitb,metaworld,hammer-v2-goal-observable,300,MISSING,,,,
