encoder,task_suite,gap,gap_seconds,view,v11_mode,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6,mse,cosine_sim,n_train_demos,n_eval_demos,n_train_pairs,n_eval_pairs,best_epoch,elapsed_seconds,checkpoint,cell_dir
dinov2,libero_goal,1,0.05,agentview_rgb,,0.5921048694904989,-30.41248540092203,-124.36391333703223,-33.48357897722956,-4.449544348912853,-3.5540537250798714,-1.5551023273980524,0.5965783943835901,0.051282238215208054,0.7904321551322937,396,99,48794,12981,19,318.0817160606384,,dinov2_libero_goal_20260430_165436
dinov2,libero_goal,13,0.65,agentview_rgb,,0.7271445863074621,0.15008235454328256,0.4101495263869378,0.46505069616972405,0.5755944656096682,0.5840082876691415,0.6814338375788958,0.7343848866321832,0.03765396028757095,0.8761817812919617,396,99,44042,11793,17,288.1647574901581,,dinov2_libero_goal_20260430_165436
dinov2,libero_goal,20,1.0,agentview_rgb,,0.731862706555994,0.7548328942629428,-0.18550836535072923,0.8977826630953765,0.6935039001479679,0.7103272257779948,0.6849989159124725,0.7371903330471195,0.039818454533815384,0.8596189022064209,396,99,41270,11100,18,273.0994117259979,,dinov2_libero_goal_20260430_165436
dinov2,libero_goal,40,2.0,agentview_rgb,,0.6954821231313519,0.8194612271170703,0.729222199239496,0.9383829221631746,0.7863243819046768,0.8143193363146831,0.8081547612752211,0.6639372932892957,0.05456647649407387,0.8077689409255981,396,99,33350,9120,20,221.2054419517517,,dinov2_libero_goal_20260430_165436
dinov2,libero_object,1,0.05,agentview_rgb,,0.6896986473577404,-36.57299170624662,-5.6872094345930675,-100.14627826277018,-51.789568260802305,-11.79918631860592,-22.124267585472168,0.6949869519085572,0.044011205434799194,0.8202508091926575,396,99,58203,14591,16,374.50719594955444,,dinov2_libero_object_20260430_164335
dinov2,libero_object,13,0.65,agentview_rgb,,0.7842653185287152,-0.39544339940956386,0.7088055825937118,0.9055561814085168,-0.09735152655746404,0.40331080419790455,0.33560941206232286,0.7903093964923606,0.030426889657974243,0.8827443718910217,396,99,53451,13403,19,345.16067457199097,,dinov2_libero_object_20260430_164335
dinov2,libero_object,20,1.0,agentview_rgb,,0.7387535333140993,0.2990702556994471,0.9412391248191908,0.789784317276424,-0.548380168946847,0.6386248259677954,0.3420191470429538,0.7446883050743272,0.03658444806933403,0.8532454967498779,396,99,50679,12710,17,329.6287934780121,,dinov2_libero_object_20260430_164335
dinov2,libero_object,40,2.0,agentview_rgb,,0.6408874526007504,0.6532400804387206,0.872839351861816,0.7786445447051041,0.0038717785410461447,0.7372081113343185,0.5410100095861625,0.6329838657875857,0.044547613710165024,0.8253243565559387,396,99,42759,10730,17,289.68910002708435,,dinov2_libero_object_20260430_164335
dinov2,libero_spatial,1,0.05,agentview_rgb,,0.6110822510825888,-11.35641001991278,-48.62950851928984,-6.576373217928729,-77.65537494849754,-20.17845119235533,-8.726849386076596,0.615810659861354,0.05529636889696121,0.7583386301994324,396,99,49224,11571,19,313.82165575027466,,dinov2_libero_spatial_20260430_164335
dinov2,libero_spatial,13,0.65,agentview_rgb,,0.7012379786389566,0.7717017224059443,0.7166657380697419,0.8629589300542527,-0.2823055474982663,0.5319415412322025,0.08307379653710745,0.708186224347552,0.04221164807677269,0.8321964144706726,396,99,44472,10383,19,284.5346419811249,,dinov2_libero_spatial_20260430_164335
dinov2,libero_spatial,20,1.0,agentview_rgb,,0.665852309258598,0.7296347302417858,0.6951573799088999,0.8731740157332832,0.40205224722771216,0.5682918960191478,0.5464182891423843,0.6672690755598957,0.04645094275474548,0.8173527717590332,396,99,41700,9690,19,266.7920787334442,,dinov2_libero_spatial_20260430_164335
dinov2,libero_spatial,40,2.0,agentview_rgb,,0.5022044102383535,0.8535129116655402,0.8993921487990779,0.9237344289907455,0.5537040095345103,0.693788004123477,0.6699791687429458,0.4622221789069132,0.055936314165592194,0.80074542760849,396,99,33780,7710,18,217.81610894203186,,dinov2_libero_spatial_20260430_164335
siglip,libero_goal,1,0.05,agentview_rgb,,0.5890526869177455,-17.23340291838693,-18.727385853819484,-8.803837672805736,-8.390465537352359,-2.3467180257387725,-1.9881128974932967,0.5910448160673685,0.05166597291827202,0.7833012938499451,396,99,48794,12981,18,266.333527803421,,siglip_libero_goal_20260430_165635
siglip,libero_goal,13,0.65,agentview_rgb,,0.7214811811321712,0.3968600302179487,0.31794358043311277,0.6815620262996107,0.4559761843426898,0.5089121503181134,0.5788736755603618,0.7307914681813297,0.03843550756573677,0.8622170090675354,396,99,44042,11793,19,241.11435556411743,,siglip_libero_goal_20260430_165635
siglip,libero_goal,20,1.0,agentview_rgb,,0.712353685569574,0.16919327041826482,0.7591628320279942,0.7111469992597167,0.504589519317812,0.6225847918182883,0.681040014279352,0.7215547466802692,0.04271554946899414,0.8422858715057373,396,99,41270,11100,18,228.13273668289185,,siglip_libero_goal_20260430_165635
siglip,libero_goal,40,2.0,agentview_rgb,,0.6800134795743287,0.758530905131278,0.8837818048192847,0.7466554532145904,0.7057119550023083,0.7616567205369209,0.7559073472384061,0.6601004778867061,0.057338301092386246,0.7955459952354431,396,99,33350,9120,20,185.25545191764832,,siglip_libero_goal_20260430_165635
siglip,libero_object,1,0.05,agentview_rgb,,0.6699057357455005,-125.23129379432005,-6.384644571481117,-7.229950566749142,-146.09875035884355,-4.86286762092119,-8.779933437541889,0.6736748666100691,0.046818505972623825,0.8100449442863464,396,99,58203,14591,20,314.64273166656494,,siglip_libero_object_20260430_164335
siglip,libero_object,13,0.65,agentview_rgb,,0.7650355200653114,0.6032710507475599,0.8783031020999253,0.8849168137001515,-0.14652386136411244,0.4549478221676656,-0.05570342015304397,0.7698227036285663,0.03313903138041496,0.8802877068519592,396,99,53451,13403,20,289.3438355922699,,siglip_libero_object_20260430_164335
siglip,libero_object,20,1.0,agentview_rgb,,0.7310384013994093,0.6290021366562097,0.7213339668821352,0.8978952157564012,0.252598432230147,0.5720285776265532,0.3550212701373665,0.7354070547139571,0.03766486048698425,0.8524988293647766,396,99,50679,12710,18,276.04105615615845,,siglip_libero_object_20260430_164335
siglip,libero_object,40,2.0,agentview_rgb,,0.6263415463182778,0.6269612765036302,0.9361697893370053,0.9547036204148094,0.3197677502233768,0.6161407298186843,0.4010559130951542,0.6132783941184881,0.046352021396160126,0.8240336179733276,396,99,42759,10730,16,236.97553730010986,,siglip_libero_object_20260430_164335
siglip,libero_spatial,1,0.05,agentview_rgb,,0.5833812025392529,-7.194962452485715,-69.94037771490069,-81.44516854259733,-49.41630114170486,-11.007685758516637,-6.090380868977182,0.5900165476275825,0.05923490598797798,0.7463715672492981,396,99,49224,11571,20,261.50908517837524,,siglip_libero_spatial_20260430_164335
siglip,libero_spatial,13,0.65,agentview_rgb,,0.6792314269447469,0.606236490343395,0.5533955808667852,0.6356344953520593,0.12444760850592296,0.07845616559965363,0.2615769495010508,0.6880204249010771,0.04532092437148094,0.8189859390258789,396,99,44472,10383,18,236.80118227005005,,siglip_libero_spatial_20260430_164335
siglip,libero_spatial,20,1.0,agentview_rgb,,0.6458467021312083,0.7702345476840522,0.716861572088648,0.873689645891746,0.34775802432099134,0.4943243009183458,0.45918441884398387,0.6481746205032703,0.049231983721256256,0.8071824312210083,396,99,41700,9690,18,222.31924629211426,,siglip_libero_spatial_20260430_164335
siglip,libero_spatial,40,2.0,agentview_rgb,,0.4510518915232131,0.7804559262658946,0.8321375862132655,0.8063753434036156,0.48437284807969516,0.5584195125908054,0.61971373411795,0.41534185043085825,0.061684221029281616,0.773561954498291,396,99,33780,7710,18,180.902161359787,,siglip_libero_spatial_20260430_164335
two-stream-v11,libero_goal,1,0.05,agentview_rgb,abd_prime,0.5457616245029984,0.09234651669103766,0.5373492181852157,0.22760802102750455,0.1675585973973691,0.4668079008108811,0.534881086882547,0.5458090617907111,0.05710870027542114,0.755747377872467,396,99,48794,12981,20,184.45641708374023,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_165235
two-stream-v11,libero_goal,13,0.65,agentview_rgb,abd_prime,0.5947611401907646,0.2513110071158329,0.7861346345445802,0.6266193731324249,0.5617708200223857,0.5268488649764824,0.6878226845007983,0.5944623713050263,0.05592283234000206,0.7726806402206421,396,99,44042,11793,20,159.96560621261597,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_165235
two-stream-v11,libero_goal,20,1.0,agentview_rgb,abd_prime,0.6129330188173989,0.6757261361088043,0.8757674942382778,0.799635328752612,0.5872740247230858,0.5767965899908591,0.7267183670019408,0.6064105261239419,0.05747954547405243,0.7662210464477539,396,99,41270,11100,20,150.01550030708313,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_165235
two-stream-v11,libero_goal,40,2.0,agentview_rgb,abd_prime,0.6307254042594926,0.8084242885051744,0.9053914979884533,0.8565814981036906,0.730032228553305,0.6468029012468366,0.7682463487438267,0.6004105623758966,0.06617021560668945,0.7439940571784973,396,99,33350,9120,19,121.6781394481659,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_165235
two-stream-v11,libero_object,1,0.05,agentview_rgb,abd_prime,0.7022489797023779,0.4935419871715263,0.6222646966231076,0.7990923338713167,-2.5863778333673717,0.2555477156618672,0.20306100002352634,0.7023149322408784,0.04223114252090454,0.8371889591217041,396,99,58203,14591,20,207.5901482105255,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_164335
two-stream-v11,libero_object,13,0.65,agentview_rgb,abd_prime,0.701730807508181,0.7444937362716908,0.9295917086807648,0.8847496849687309,0.12950554847331774,0.547064776041135,0.2856565403119933,0.7026247852948675,0.042067430913448334,0.842592179775238,396,99,53451,13403,20,191.53494310379028,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_164335
two-stream-v11,libero_object,20,1.0,agentview_rgb,abd_prime,0.6813932004711369,0.7413203428754991,0.9421792066053678,0.8839165742699355,0.26089258850118024,0.6598853639461454,0.30934169958001656,0.6804713469578845,0.04461707919836044,0.8241082429885864,396,99,50679,12710,20,181.33841061592102,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_164335
two-stream-v11,libero_object,40,2.0,agentview_rgb,abd_prime,0.6140263405667458,0.5799219633841677,0.9680981794147302,0.9318861473384829,0.1416414653877145,0.7282622448522846,0.36122043062027254,0.5991757529370834,0.04787971079349518,0.8154000043869019,396,99,42759,10730,19,153.6200189590454,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_164335
two-stream-v11,libero_spatial,1,0.05,agentview_rgb,abd_prime,0.6596834654085406,-0.4725772862066706,-0.20862025849578703,0.7410513065375617,-3.7362076488293257,-0.35510371350104064,-0.23683000596384796,0.6599163628131715,0.04838624224066734,0.8072391748428345,396,99,49224,11571,18,172.0210223197937,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_164335
two-stream-v11,libero_spatial,13,0.65,agentview_rgb,abd_prime,0.5931188571332545,0.7535162374596028,0.8645198780175394,0.7760254922398365,0.28228460764293395,0.5553680136020835,0.4405542418894197,0.5930018907318377,0.05748764052987099,0.7502808570861816,396,99,44472,10383,19,155.27836108207703,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_164335
two-stream-v11,libero_spatial,20,1.0,agentview_rgb,abd_prime,0.5552939505997528,0.754918339131716,0.8878517518313784,0.8123751080763114,0.39636648907312866,0.5887683573915186,0.4604153483924843,0.5511748379658441,0.06182001158595085,0.7355313897132874,396,99,41700,9690,20,145.60067892074585,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_164335
two-stream-v11,libero_spatial,40,2.0,agentview_rgb,abd_prime,0.3744167318442966,0.7476583593362945,0.928386222770479,0.8576936960325076,0.46512756349826256,0.6582487375443518,0.5482184104693552,0.3259943372851709,0.07029556483030319,0.7203288674354553,396,99,33780,7710,19,119.10585641860962,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_164335
vc1,libero_goal,1,0.05,agentview_rgb,,0.42660708561513994,-1.9860548751028624,-0.006831565152909391,0.11731666225919934,-1.3605216390799058,0.3036874015725306,0.531513283187641,0.4267597834254545,0.0720892995595932,0.6464456915855408,396,99,48794,12981,19,247.74423027038574,,vc1_libero_goal_20260430_165936
vc1,libero_goal,13,0.65,agentview_rgb,,0.607318982085859,0.6158659588422261,0.8625096860042683,0.8067439637751643,0.566366205060554,0.5520520071057813,0.6675792038402362,0.6057001032281508,0.054189857095479965,0.777194619178772,396,99,44042,11793,20,225.88657331466675,,vc1_libero_goal_20260430_165936
vc1,libero_goal,20,1.0,agentview_rgb,,0.6234857782558614,0.7682396449849838,0.8967930131616676,0.8415229448951204,0.6415594098485051,0.628452158135564,0.6516943311145341,0.6180796605359913,0.055912457406520844,0.765970766544342,396,99,41270,11100,20,212.71735429763794,,vc1_libero_goal_20260430_165936
vc1,libero_goal,40,2.0,agentview_rgb,,0.5756722286631186,0.8061014273193099,0.934503896165964,0.9364620664814934,0.7278663012060174,0.7585609913381752,0.7385719350156912,0.5247851808013605,0.07603517919778824,0.7174896001815796,396,99,33350,9120,20,172.94270396232605,,vc1_libero_goal_20260430_165936
vc1,libero_object,1,0.05,agentview_rgb,,0.4614764891471371,-4.236426282707429,0.7510805077286599,0.26463398984799,-6.815085297340544,-0.13408575723353744,-0.37904170689737793,0.46164118604243976,0.07638081163167953,0.6392166614532471,396,99,58203,14591,20,290.1342225074768,,vc1_libero_object_20260430_164335
vc1,libero_object,13,0.65,agentview_rgb,,0.6977785595768822,0.76170001795398,0.9474008953672958,0.932535539219452,0.519328456572415,0.5335402553152389,0.36546541216412287,0.6974092043840656,0.04262484982609749,0.8368357419967651,396,99,53451,13403,20,267.3327443599701,,vc1_libero_object_20260430_164335
vc1,libero_object,20,1.0,agentview_rgb,,0.6804257447777162,0.7913978034756612,0.9648114659326397,0.9584531041117087,0.5973224173646381,0.6266197259315475,0.41921139593633305,0.6767187543835912,0.044752560555934906,0.8213456869125366,396,99,50679,12710,19,253.4145314693451,,vc1_libero_object_20260430_164335
vc1,libero_object,40,2.0,agentview_rgb,,0.5964711424412952,0.8048104799975724,0.978811082700443,0.9745842278486745,0.6141989664941352,0.7055628419340311,0.48836802079318886,0.5706510088770875,0.05005741864442825,0.8071681261062622,396,99,42759,10730,20,216.13210558891296,,vc1_libero_object_20260430_164335
vc1,libero_spatial,1,0.05,agentview_rgb,,0.4786863740247308,0.24888189136741512,0.5034863689841498,0.1931257367054552,-0.3016574854627849,-0.16474295848190024,0.1877406813973984,0.47876636633319825,0.0741204246878624,0.6385550498962402,396,99,49224,11571,20,243.33236265182495,,vc1_libero_spatial_20260430_164335
vc1,libero_spatial,13,0.65,agentview_rgb,,0.584710703719352,0.8024218111831333,0.8656102706189194,0.8998673734664042,0.4341141643706491,0.49645154215742404,0.4775717110905485,0.5831736722197152,0.058675616979599,0.742729127407074,396,99,44472,10383,20,219.95179629325867,,vc1_libero_spatial_20260430_164335
vc1,libero_spatial,20,1.0,agentview_rgb,,0.5523478784473979,0.845458147992157,0.8995505832575715,0.9289945776921538,0.5798739303286837,0.6223922048199722,0.5321739424627162,0.5436992517046308,0.06222955510020256,0.7366289496421814,396,99,41700,9690,20,206.40599918365479,,vc1_libero_spatial_20260430_164335
vc1,libero_spatial,40,2.0,agentview_rgb,,0.34609176317661416,0.8601972427625416,0.9440182534785195,0.9471009610906342,0.6827933124070265,0.6648708562582015,0.6324643979460045,0.2800169358577629,0.07347838580608368,0.698477029800415,396,99,33780,7710,19,167.6442174911499,,vc1_libero_spatial_20260430_164335
videomae-ours,libero_goal,1,0.05,agentview_rgb,,0.45736569687225614,0.02777131431102753,-2.8540995223478682,-0.6484607273096907,0.2418777167929732,0.3515658906717326,0.4647149492640673,0.45747904428329644,0.06822219491004944,0.6920600533485413,396,99,48794,12981,20,152.87392830848694,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_165436
videomae-ours,libero_goal,13,0.65,agentview_rgb,,0.5246831661444566,0.6324427856051139,0.7235226251097884,0.785162122176446,0.5256789931046228,0.491983259984088,0.5149901886125104,0.5233802578343598,0.06559357047080994,0.7240033149719238,396,99,44042,11793,20,138.00242924690247,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_165436
videomae-ours,libero_goal,20,1.0,agentview_rgb,,0.5378626424025619,0.6788100779835524,0.8687676890408448,0.8361700770451843,0.5724921863189971,0.4728385224346151,0.6328219321390445,0.530290751713087,0.06862751394510269,0.7212334871292114,396,99,41270,11100,20,129.81321358680725,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_165436
videomae-ours,libero_goal,40,2.0,agentview_rgb,,0.5381900918732194,0.7811256491176298,0.9126573052105036,0.8653291984335503,0.6902935016770666,0.6295629445443367,0.7131655528758558,0.49253960685033926,0.08275159448385239,0.6938711404800415,396,99,33350,9120,20,105.6240348815918,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_165436
videomae-ours,libero_object,1,0.05,agentview_rgb,,0.654937907122514,-0.047179937742425127,0.4479315776171773,0.7495394668989228,0.02428998375764113,-1.2352698896306542,0.10576843049496887,0.655027651598594,0.04894145205616951,0.8003852963447571,396,99,58203,14591,20,183.0646414756775,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_164335
videomae-ours,libero_object,13,0.65,agentview_rgb,,0.6555659221400296,0.7193312910729723,0.946397660328849,0.899636356845468,0.32219508094282145,0.5308468123173917,0.29265534419035444,0.6551177108304582,0.04857845604419708,0.8040819764137268,396,99,53451,13403,20,167.2503457069397,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_164335
videomae-ours,libero_object,20,1.0,agentview_rgb,,0.6460742093307958,0.7498107268202523,0.9532413276599094,0.9236625702805155,0.37213694520741425,0.5847020173733105,0.31752078121901517,0.6432650074466784,0.04956308379769325,0.8026918172836304,396,99,50679,12710,20,158.2298390865326,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_164335
videomae-ours,libero_object,40,2.0,agentview_rgb,,0.554518266474809,0.7401897843710177,0.9636563977831187,0.9449201759713335,0.3310341424223706,0.7206636101729755,0.35041644147348683,0.5304343667257696,0.05526163801550865,0.782855749130249,396,99,42759,10730,20,133.93596005439758,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_164335
videomae-ours,libero_spatial,1,0.05,agentview_rgb,,0.4078956629402516,0.1918019207572439,-0.8636917994935838,0.4858642744639541,-0.15403715605362556,0.0670010500576782,0.16602930307532382,0.40796143580191213,0.08418545871973038,0.5895124673843384,396,99,49224,11571,20,147.2032880783081,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_164335
videomae-ours,libero_spatial,13,0.65,agentview_rgb,,0.5103684598131258,0.7786960312860352,0.8463988389908349,0.8518070035327264,0.3954120172875689,0.5943523393330855,0.3962838687342245,0.507326242407188,0.06917932629585266,0.6928742527961731,396,99,44472,10383,20,132.57165551185608,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_164335
videomae-ours,libero_spatial,20,1.0,agentview_rgb,,0.4873281923968895,0.8038992027272579,0.8608121985213535,0.8616611035049405,0.46688837802864835,0.600875787766484,0.46540596028175896,0.47824217585726936,0.07126814872026443,0.6950290203094482,396,99,41700,9690,20,124.51550030708313,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_164335
videomae-ours,libero_spatial,40,2.0,agentview_rgb,,0.2887378058581618,0.8056758763309253,0.9061890620122798,0.8527859542506991,0.5788834694483129,0.6228855136841147,0.5504072501309824,0.2250261951943543,0.07992313802242279,0.6707063913345337,396,99,33780,7710,20,101.32573866844177,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_164335
